"MPG","bodyType","color","description","engine","location","mileage","price","primaryImage","title","transmission","url","vehicleDetails","vin"
"19 city / 24 hwy","SUV","Silver","Used 2024 Hyundai Palisade Calligraphy with  All-Wheel Drive, Remote Start, Navigation System, Keyless Entry, Leather Seats, Heated Seats, Heated Steering Wheel, Bucket Seats, Power Liftgate, Blind Spot Monitor, and Alloy Wheels","6 Cyl 3.8 L","Flemington, NJ  (48 miles from New York, NY)","13,225 miles","$42,995","https://carfax-img.vast.com/carfax/v2/8285418772681384360/1/344x258","Used 2024 Hyundai Palisade Calligraphy","Automatic","https://www.carfax.com/vehicle/KM8R7DGE2RU672381","No accident or damage reported to CARFAXPurchased on 10/18/23 and owned in NJ until 04/26/25Last serviced in Flemington, NJ on 06/10/25 Driven an estimated 8,681  miles/year.","KM8R7DGE2RU672381"
"23 city / 33 hwy","Sedan","White","Used 2021 Mercedes-Benz C-Class C 300 with  All-Wheel Drive, Remote Start, Keyless Entry, Heated Seats, Bucket Seats, Ambient Lighting, Power Liftgate, Blind Spot Monitor, 19 Inch Wheels, Alloy Wheels, and Led Lights","4 Cyl 2.0 L","Flemington, NJ  (48 miles from New York, NY)","49,324 miles","$23,997","https://carfax-img.vast.com/carfax/v2/-6290780447426376538/1/344x258","Used 2021 Mercedes-Benz C-Class C 300","Automatic","https://www.carfax.com/vehicle/W1KWF8EB6MR644532","Other damage reportedPurchased on 06/30/21 and owned in TX until 05/21/25Last serviced in Flemington, NJ on 05/27/25 Driven an estimated 12,669  miles/year.","W1KWF8EB6MR644532"
"19 city / 24 hwy","SUV","White","Used 2025 Hyundai Palisade Calligraphy with  All-Wheel Drive, Remote Start, Navigation System, Keyless Entry, Leather Seats, Heated Seats, Heated Steering Wheel, Bucket Seats, Power Liftgate, Blind Spot Monitor, and Alloy Wheels","6 Cyl 3.8 L","Flemington, NJ  (49 miles from New York, NY)","5,373 miles","$46,993","https://carfax-img.vast.com/carfax/v2/2986905483415290519/1/344x258","Certified Used 2025 Hyundai Palisade Calligraphy","Automatic","https://www.carfax.com/vehicle/KM8R7DGE9SU850194","No accident or damage reported to CARFAXPurchased on 11/01/24 and owned in NJ until 04/07/25Last serviced at 5,372 miles in Flemington, NJ on 04/13/25 Driven an estimated 0  miles/year.","KM8R7DGE9SU850194"
"17 city / 24 hwy","SUV","Black","Used 2021 Lincoln Aviator Reserve with  All-Wheel Drive, Remote Start, Navigation System, Keyless Entry, Fog Lights, Leather Seats, Heated Seats, Heated Steering Wheel, Bucket Seats, Power Liftgate, and Blind Spot Monitor","6 Cyl 3.0 L","Flemington, NJ  (49 miles from New York, NY)","42,609 miles","$37,990","https://carfax-img.vast.com/carfax/v2/-6159016850705236139/1/344x258","Used 2021 Lincoln Aviator Reserve","Automatic","https://www.carfax.com/vehicle/5LM5J7XC3MGL18230","No accident or damage reported to CARFAXPurchased on 09/02/21 and owned in PA until 05/02/25Last serviced at 42,609 miles in Flemington, NJ on 05/12/25 Driven an estimated 11,612  miles/year.","5LM5J7XC3MGL18230"
"26 city / 31 hwy","SUV","Black","Used 2022 Honda HR-V EX with  All-Wheel Drive, Keyless Entry, Fog Lights, Spoiler, Heated Seats, Roof Rails, Alloy Wheels, 17 Inch Wheels, Heated Mirrors, Satellite Radio, and Hondalink","4 Cyl 1.8 L","Brewster, NY  (49 miles from New York, NY)","64,460 miles","$18,990","https://carfax-img.vast.com/carfax/v2/-1493034559775545881/1/344x258","Used 2022 Honda HR-V EX","Automatic","https://www.carfax.com/vehicle/3CZRU6H50NM770289","Accident reported: minor damagePurchased on 06/01/22 and owned in NY until 05/13/25Last serviced at 64,460 miles in Brewster, NY on 05/15/25 Driven an estimated 21,564  miles/year.","3CZRU6H50NM770289"
"17 city / 22 hwy","Pickup","White","Used 2021 Jeep Gladiator Willys with  Four-Wheel Drive, Technology Package, Convenience Package, Cold Weather Package, Fog Lights, Bucket Seats, 17 Inch Wheels, Hard Top, Satellite Radio, Black Top, and Cloth Seats","6 Cyl 3.6 L","Staten Island, NY  (11 miles from New York, NY)","44,439 miles","$26,489","https://carfax-img.vast.com/carfax/v2/-144939362179206323/1/344x258","Certified Used 2021 Jeep Gladiator Willys","Automatic","https://www.carfax.com/vehicle/1C6HJTAG4ML513602","No accident or damage reported to CARFAXPurchased on 03/02/21 and owned in NY until 04/23/25Last serviced at 34,341 miles in Greenvale, NY on 02/26/24 Driven an estimated 10,713  miles/year.","1C6HJTAG4ML513602"
"20 city / 25 hwy","SUV","Blue","Used 2022 Infiniti QX60 Luxe with  All-Wheel Drive, Cargo Package, Remote Start, Navigation System, Keyless Entry, Leather Seats, Heated Seats, Heated Steering Wheel, Bucket Seats, Power Liftgate, and Blind Spot Monitor","6 Cyl 3.5 L","Flemington, NJ  (49 miles from New York, NY)","49,024 miles","$35,599","https://carfax-img.vast.com/carfax/v2/7150436998695902820/1/344x258","Certified Used 2022 Infiniti QX60 Luxe","Automatic","https://www.carfax.com/vehicle/5N1DL1FS1NC333042","Other damage reportedPurchased on 02/18/22 and owned in NJ until 06/03/25Last serviced at 49,035 miles in Flemington, NJ on 05/29/25 Driven an estimated 14,964  miles/year.","5N1DL1FS1NC333042"
"48 city / 47 hwy","Sedan","Gray","Used 2020 Honda Accord Touring with  Front-Wheel Drive, Remote Start, Navigation System, Keyless Entry, Fog Lights, Leather Seats, Heated Seats, Bucket Seats, Blind Spot Monitor, Alloy Wheels, and Led Lights","4 Cyl 2.0 L","Croton On Hudson, NY  (32 miles from New York, NY)","99,424 miles","$19,995","https://carfax-img.vast.com/carfax/v2/268013914972153832/1/344x258","Used 2020 Honda Accord Touring","Automatic","https://www.carfax.com/vehicle/1HGCV3F96LA010313","No accident or damage reported to CARFAXPurchased on 06/25/20 and owned in NY until 05/16/25Last serviced at 71,652 miles in Cortlandt Manor, NY on 03/13/24 Driven an estimated 19,232  miles/year.","1HGCV3F96LA010313"
"23 city / 30 hwy","Hatchback","Blue","Used 2023 Volkswagen Golf 20th Anniversary Edition with  All-Wheel Drive, Navigation System, Keyless Entry, Fog Lights, Leather Seats, Heated Seats, Cargo Cover, Heated Steering Wheel, Bucket Seats, Blind Spot Monitor, and Alloy Wheels","4 Cyl 2.0 L","Bernardsville, NJ  (30 miles from New York, NY)","35,928 miles","$39,995","https://carfax-img.vast.com/carfax/v2/7473588052307109699/1/344x258","Used 2023 Volkswagen Golf 20th Anniversary Edition","Automatic","https://www.carfax.com/vehicle/WVWAB7CD4PW167474","No accident or damage reported to CARFAXPurchased on 07/06/23 and owned in NJ until 04/29/25Last serviced at 35,928 miles in Bernardsville, NJ on 05/27/25 Driven an estimated 18,977  miles/year.","WVWAB7CD4PW167474"
"17 city / 25 hwy","SUV","Gray","Used 2018 Chevrolet Traverse Premier with  All-Wheel Drive, Keyless Entry, Leather Seats, Heated Seats, Heated Steering Wheel, Roof Rails, Tinted Windows, Folding Mirrors, Power Liftgate, Bench Seat, and Smart Key","6 Cyl 3.6 L","Wilton, CT  (43 miles from New York, NY)","94,887 miles","$19,295","https://carfax-img.vast.com/carfax/v2/-1001364086740058848/1/344x258","Used 2018 Chevrolet Traverse Premier","Automatic","https://www.carfax.com/vehicle/1GNEVJKW3JJ234876","Other damage reportedPurchased on 05/26/18 and owned in CT until 01/15/25Last serviced at 94,888 miles in Wilton, CT on 01/16/25 Driven an estimated 14,276  miles/year.","1GNEVJKW3JJ234876"
