"MPG","bodyType","color","description","engine","location","mileage","price","primaryImage","title","transmission","url","vehicleDetails","vin"
"24 city / 31 hwy","SUV","Red","Used 2020 Mazda CX-30 Premium with  All-Wheel Drive, Premium Package, Keyless Entry, Spoiler, Leather Seats, Heated Seats, Roof Rails, Power Liftgate, Blind Spot Monitor, 18 Inch Wheels, and Alloy Wheels","4 Cyl 2.5 L","Kingwood, TX  (20 miles from Houston, TX)","65,259 miles","$19,492","https://carfax-img.vast.com/carfax/v2/1424580720587063274/1/344x258","Used 2020 Mazda CX-30 Premium","Automatic","https://www.carfax.com/vehicle/3MVDMBEM6LM124481","No accident or damage reported to CARFAXPurchased on 05/01/21 and owned in TX until 05/22/25Last serviced in Kingwood, TX on 05/23/25 Driven an estimated 16,072  miles/year.","3MVDMBEM6LM124481"
"18 city / 23 hwy","SUV","White","Used 2023 Genesis GV80 3.5T with  All-Wheel Drive, Navigation System, Keyless Entry, Spoiler, Leather Seats, Heated Seats, Heated Steering Wheel, Power Liftgate, Alloy Wheels, 20 Inch Wheels, and Third Row Seating","6 Cyl 3.5 L","Houston, TX","45,187 miles","$46,783","https://carfax-img.vast.com/carfax/v2/-2563995745590647817/1/344x258","Used 2023 Genesis GV80 3.5T Advanced Plus","Automatic","https://www.carfax.com/vehicle/KMUHCESC0PU112392","No accident or damage reported to CARFAXPurchased on 09/02/22 and owned in TX until 04/02/25Last serviced at 30,044 miles in San Juan, TX on 07/17/24 Driven an estimated 17,509  miles/year.","KMUHCESC0PU112392"
"25 city / 31 hwy","SUV","White","Used 2019 Mazda CX-5 Sport with  Front-Wheel Drive, Keyless Entry, Spoiler, Dual Exhaust, Blind Spot Monitor, Alloy Wheels, Led Lights, 17 Inch Wheels, Satellite Radio, Premium Sound System, and Sport Seats","4 Cyl 2.5 L","Conroe, TX  (37 miles from Houston, TX)","79,626 miles","$16,129","https://carfax-img.vast.com/carfax/v2/6015015032035631322/1/344x258","Used 2019 Mazda CX-5 Sport","Automatic","https://www.carfax.com/vehicle/JM3KFABMXK1507747","Accident reported: very minor damagePurchased on 02/11/20 and owned in TX until 05/03/25Last serviced at 79,626 miles in Conroe, TX on 05/12/25 Driven an estimated 15,223  miles/year.","JM3KFABMXK1507747"
"19 city / 22 hwy","Pickup","Black","Used 2021 Chevrolet Silverado 1500 Custom with  Four-Wheel Drive, Infotainment Package, Preferred Equipment Package, Remote Start, Keyless Entry, Double Cab, Tinted Windows, Alloy Wheels, 20 Inch Wheels, Heated Mirrors, and Satellite Radio","4 Cyl 2.7 L","Liberty, TX  (41 miles from Houston, TX)","63,845 miles","$27,796","https://carfax-img.vast.com/carfax/v2/-877983783268735756/1/344x258","Used 2021 Chevrolet Silverado 1500 Custom","Automatic","https://www.carfax.com/vehicle/1GCRYBEK3MZ360015","Accident reported: minor damagePurchased on 07/19/21 and owned in NY until 03/12/25Last serviced in Liberty, TX on 05/27/25 Driven an estimated 17,244  miles/year.","1GCRYBEK3MZ360015"
"19 city / 24 hwy","SUV","Silver","Used 2024 Hyundai Palisade Limited with  All-Wheel Drive, Navigation System, Keyless Entry, Spoiler, Leather Seats, Heated Seats, Cargo Cover, Heated Steering Wheel, Roof Rails, Ambient Lighting, and Power Liftgate","6 Cyl 3.8 L","Baytown, TX  (22 miles from Houston, TX)","13,334 miles","$40,888","https://carfax-img.vast.com/carfax/v2/4951478015096357811/1/344x258","Certified Used 2024 Hyundai Palisade Limited","Automatic","https://www.carfax.com/vehicle/KM8R5DGE8RU670866","No accident or damage reported to CARFAXPurchased on 11/16/23 and owned in TX until 04/25/25Last serviced in Baytown, TX on 05/15/25 Driven an estimated 9,251  miles/year.","KM8R5DGE8RU670866"
"15 city / 21 hwy","Pickup","Gray","Used 2021 Nissan Titan SV with  Four-Wheel Drive, Convenience Package, Remote Start, Navigation System, Keyless Entry, Trailer Hitch, Running Boards, Heated Seats, Blind Spot Monitor, 18 Inch Wheels, and Captains Chairs","8 Cyl 5.6 L","Liberty, TX  (41 miles from Houston, TX)","125,660 miles","$20,497","https://carfax-img.vast.com/carfax/v2/126302023316776771/1/344x258","Used 2021 Nissan Titan SV","Automatic","https://www.carfax.com/vehicle/1N6AA1ED8MN512629","No accident or damage reported to CARFAXPurchased on 04/17/21 and owned in TX until 04/12/25Last serviced in Liberty, TX on 04/22/25 Driven an estimated 31,501  miles/year.","1N6AA1ED8MN512629"
"20 city / 27 hwy","Sedan","Blue","Used 2021 Subaru WRX Premium with  All-Wheel Drive, Keyless Entry, Fog Lights, Heated Seats, Bucket Seats, Alloy Wheels, Limited Slip Differential, Heated Mirrors, Satellite Radio, Keyless Ignition, and Cloth Seats","4 Cyl 2.0 L","Crosby, TX  (20 miles from Houston, TX)","32,430 miles","$23,988","https://carfax-img.vast.com/carfax/v2/-9143847037449489361/1/344x258","Used 2021 Subaru WRX Premium","Manual","https://www.carfax.com/vehicle/JF1VA1C64M9817052","No accident or damage reported to CARFAXPurchased on 10/15/21 and owned in TX until 06/04/25Last serviced at 32,430 miles in Crosby, TX on 06/09/25 Driven an estimated 8,904  miles/year.","JF1VA1C64M9817052"
"19 city / 25 hwy","SUV","Gray","Used 2019 Audi Q7 Premium Plus with  All-Wheel Drive, Convenience Package, Premium Plus Package, Lighting Package, Led Interior Lighting Package, Navigation System, Keyless Entry, Fog Lights, Spoiler, Leather Seats, and Heated Seats","4 Cyl 2.0 L","Spring, TX  (21 miles from Houston, TX)","85,701 miles","$19,988","https://carfax-img.vast.com/carfax/v2/-946256760831580875/1/344x258","Used 2019 Audi Q7 Premium Plus 45","Automatic","https://www.carfax.com/vehicle/WA1LHAF78KD015349","No accident or damage reported to CARFAXPurchased on 01/30/19 and owned in TX until 05/31/25Last serviced in Spring, TX on 06/04/25 Driven an estimated 13,523  miles/year.","WA1LHAF78KD015349"
"18 city / 23 hwy","Pickup","Black","Used 2019 Ford F-150 with  Four-Wheel Drive, Appearance Package, Sport Appearance Package, Payload Package, Ecoboost, Fog Lights, Trailer Hitch, Sync 3, Alloy Wheels, 17 Inch Wheels, and Supercrew Cab","6 Cyl 2.7 L","Liberty, TX  (41 miles from Houston, TX)","117,556 miles","$21,197","https://carfax-img.vast.com/carfax/v2/-3050244531761422020/1/344x258","Used 2019 Ford F-150","Automatic","https://www.carfax.com/vehicle/1FTEW1EP0KKF28872","No accident or damage reported to CARFAXPurchased on 03/27/20 and owned in AZ until 05/14/25Last serviced in Liberty, TX on 05/30/25 Driven an estimated 22,885  miles/year.","1FTEW1EP0KKF28872"
"22 city / 28 hwy","SUV","Gray","Used 2021 Hyundai Tucson SEL with  Front-Wheel Drive, Cargo Package, Keyless Entry, Spoiler, Heated Seats, Roof Rails, Blind Spot Monitor, 18 Inch Wheels, Alloy Wheels, Smart Key, and Splash Guards","4 Cyl 2.4 L","Humble, TX  (17 miles from Houston, TX)","125,421 miles","$13,995","https://carfax-img.vast.com/carfax/v2/8854619802784829170/1/344x258","Used 2021 Hyundai Tucson SEL","Automatic","https://www.carfax.com/vehicle/KM8J33AL3MU329288","No accident or damage reported to CARFAXPurchased on 04/17/21 and owned in TX until 04/11/25Last serviced in Humble, TX on 05/08/25 Driven an estimated 28,179  miles/year.","KM8J33AL3MU329288"
