"MPG","bodyType","color","description","engine","location","mileage","price","primaryImage","title","transmission","url","vin"
"43 city / 36 hwy","SUV","Blue","New 2025 Honda CR-V Sport with  Front-Wheel Drive, Keyless Entry, Spoiler, Heated Seats, Blind Spot Monitor, 18 Inch Wheels, Alloy Wheels, Heated Mirrors, and Cloth Seats","4 Cyl 2.0 L","Houston, TX","0 miles","$36,500$36,500 MSRP","https://carfax-img.vast.com/carfax/v2/-674862741921889853/1/344x258","New 2025 Honda CR-V Sport","Automatic","https://www.carfax.com/vehicle/7FARS5H54SE035597","7FARS5H54SE035597"
"22 city / 29 hwy","SUV","White","New 2024 Maserati Grecale GT with  All-Wheel Drive, Remote Start, Navigation System, Keyless Entry, Leather Seats, Heated Seats, Cargo Cover, Bucket Seats, Power Liftgate, Blind Spot Monitor, and Alloy Wheels","4 Cyl 2.0 L","Houston, TX","0 miles","$71,035$86,035 MSRP","https://carfax-img.vast.com/carfax/v2/2824402998013820626/1/344x258","New 2024 Maserati Grecale GT","Automatic","https://www.carfax.com/vehicle/ZN6PMDAA4R7455843","ZN6PMDAA4R7455843"
"19 city / 25 hwy","Pickup","Red","New 2025 Ford F-150 XLT with  Rear-Wheel Drive, Payload Package, Spare Tire, Ecoboost, Fog Lights, Trailer Hitch, Trailer Wiring, Blind Spot Monitor, 20 Inch Wheels, Supercrew Cab, and Chrome Wheels","6 Cyl 2.7 L","Spring, TX  (21 miles from Houston, TX)","0 miles","$45,798$57,280 MSRP","https://carfax-img.vast.com/carfax/v2/7954970757355977823/1/344x258","New 2025 Ford F-150 XLT","Automatic","https://www.carfax.com/vehicle/1FTEW3KP7SKD34694","1FTEW3KP7SKD34694"
"27 city / 39 hwy","Sedan","White","New 2025 Nissan Altima SR with  Front-Wheel Drive, Navigation System, Keyless Entry, Leather Seats, Blind Spot Monitor, 19 Inch Wheels, Alloy Wheels, Splash Guards, Satellite Radio, Sport Seats, and Nissanconnect","4 Cyl 2.5 L","Katy, TX  (27 miles from Houston, TX)","10 miles","$30,000$31,300 MSRP","https://carfax-img.vast.com/carfax/v2/3334067426366597145/1/344x258","New 2025 Nissan Altima SR","Automatic","https://www.carfax.com/vehicle/1N4BL4CV8SN347229","1N4BL4CV8SN347229"
"Gray","8 Cyl 6.7 L","Pickup","New 2025 Ford F-250 Lariat with  Four-Wheel Drive, Ultimate Package, Navigation System, Keyless Entry, Fog Lights, Heated Seats, Heated Steering Wheel, Blind Spot Monitor, 18 Inch Wheels, Alloy Wheels, and Ventilated Seats","Automatic","Cleveland, TX  (39 miles from Houston, TX)","22 miles","$83,585$83,585 MSRP","https://carfax-img.vast.com/carfax/v2/-3631992407159536230/1/344x258","New 2025 Ford F-250 Lariat",,"https://www.carfax.com/vehicle/1FT8W2BT9SEC66644","1FT8W2BT9SEC66644"
"32 city / 40 hwy","Sedan","Gray","New 2025 Nissan Versa SR with  Front-Wheel Drive, Remote Start, Keyless Entry, Heated Seats, Bucket Seats, Blind Spot Monitor, Alloy Wheels, Led Lights, Lane Departure Warning, Heated Mirrors, and Satellite Radio","4 Cyl 1.6 L","Stafford, TX  (15 miles from Houston, TX)","5 miles","$21,230$22,995 MSRP","https://carfax-img.vast.com/carfax/v2/2339005350144035783/1/344x258","New 2025 Nissan Versa SR","Automatic","https://www.carfax.com/vehicle/3N1CN8FV6SL821337","3N1CN8FV6SL821337"
"41 city / 38 hwy","SUV","Silver","New 2025 Toyota RAV4 LE with  All-Wheel Drive, Keyless Entry, Splash Guards","4 Cyl 2.5 L","Jersey Village, TX  (17 miles from Houston, TX)","16 miles","$35,906$35,906 MSRP","https://carfax-img.vast.com/carfax/v2/-7840039339039100609/1/344x258","New 2025 Toyota RAV4 LE","Automatic","https://www.carfax.com/vehicle/JTMLWRFV6SD310054","JTMLWRFV6SD310054"
"19 city / 26 hwy","SUV","White","New 2025 Jeep Grand Cherokee L Laredo with  Rear-Wheel Drive, Remote Start, Keyless Entry, Spoiler, Heated Seats, Heated Steering Wheel, Power Liftgate, 18 Inch Wheels, Alloy Wheels, Third Row Seating, and Heated Mirrors","6 Cyl 3.6 L","Houston, TX","10 miles","$35,223$43,325 MSRP","https://carfax-img.vast.com/carfax/v2/-3740347472821155754/1/344x258","New 2025 Jeep Grand Cherokee L Laredo","Automatic","https://www.carfax.com/vehicle/1C4RJJAG5S8697059","1C4RJJAG5S8697059"
"20 city / 26 hwy","SUV","White","New 2025 Volvo XC90 B6 Plus with  All-Wheel Drive, Navigation System, Keyless Entry, Fog Lights, Spoiler, Heated Seats, Heated Steering Wheel, Power Liftgate, Alloy Wheels, Third Row Seating, and Heated Mirrors","4 Cyl 2.0 L","Friendswood, TX  (19 miles from Houston, TX)","9 miles",,"https://carfax-img.vast.com/carfax/v2/-4998731787918739587/1/344x258","New 2025 Volvo XC90 B6 Plus","Automatic","https://www.carfax.com/vehicle/YV4062PB5S1353569","YV4062PB5S1353569"
"Blue","4 Cyl 2.5 L","SUV","New 2025 Mazda CX-5 S with  All-Wheel Drive, Keyless Entry, Spoiler, Leather Seats, Heated Seats, Cargo Cover, Bucket Seats, Power Liftgate, Blind Spot Monitor, Alloy Wheels, and Led Lights","Automatic","Houston, TX","2 miles","$32,577$33,285 MSRP","https://carfax-img.vast.com/carfax/v2/-2688164461947267650/1/344x258","New 2025 Mazda CX-5 S Preferred",,"https://www.carfax.com/vehicle/JM3KFBCL6S0655105","JM3KFBCL6S0655105"
"White","8 Cyl 5.3 L","Pickup","New 2025 Chevrolet Silverado 1500 RST with  Four-Wheel Drive, Convenience Package, Appearance Package, Leather Package, Protection Package, Preferred Equipment Package, Texas Edition Package, Remote Start, Navigation System, Keyless Entry, and Fog Lights","Automatic","Houston, TX","5 miles","$61,290$66,294 MSRP","https://carfax-img.vast.com/carfax/v2/4680061047656353157/1/344x258","New 2025 Chevrolet Silverado 1500 RST",,"https://www.carfax.com/vehicle/2GCUKEED8S1152314","2GCUKEED8S1152314"
"Gray","6 Cyl 3.0 L","SUV","New 2025 Land Rover Range Rover SE with  All-Wheel Drive, Navigation System, Keyless Entry, Fog Lights, Spoiler, Leather Seats, Heated Seats, Heated Steering Wheel, Bucket Seats, Alloy Wheels, and Led Lights","Automatic","Friendswood, TX  (19 miles from Houston, TX)","11 miles","$132,475$132,475 MSRP","https://carfax-img.vast.com/carfax/v2/-2895513213226393935/1/344x258","New 2025 Land Rover Range Rover SE",,"https://www.carfax.com/vehicle/SALKP9F4XSA283841","SALKP9F4XSA283841"
